                                          The SAS System      19:44 Friday, September 20, 2019   1

            Obs    x31    x32    x33     i     j      pdf3      x21    x22      pdf2
              63     -1      1      .    -1     1    0.00179     -1      1    0.00179
              64     -1      1      1    -1     1    0.00086     -1      1    0.00179
              65     -1      1      .    -1     1    0.00179     -1      1    0.00179
              66     -1      1      1    -1     1    0.00086     -1      1    0.00179
              67     -1      1      .    -1     1    0.00179     -1      1    0.00179
              68     -1      1      1    -1     1    0.00086     -1      1    0.00179
              69     -1      1      2    -1     1    0.00086     -1      1    0.00179
              70     -1      2     -2    -1     2    0.00000     -1      2    0.00000
              71     -1      2     -1    -1     2    0.00000     -1      2    0.00000
              72     -1      2      .    -1     2    0.00000     -1      2    0.00000
              73     -1      2      .    -1     2    0.00000     -1      2    0.00000
              74     -1      2      .    -1     2    0.00000     -1      2    0.00000
              75     -1      2      1    -1     2    0.00000     -1      2    0.00000
              76     -1      2      .    -1     2    0.00000     -1      2    0.00000
              77     -1      2      1    -1     2    0.00000     -1      2    0.00000
              78     -1      2      2    -1     2    0.00000     -1      2    0.00000
              79      0     -2      .     0    -2    0.00103      0     -2    0.00103
              80      0     -2      .     0    -2    0.00103      0     -2    0.00103
              81      0     -2      1     0    -2    0.00000      0     -2    0.00103
              82      0     -2      .     0    -2    0.00103      0     -2    0.00103
              83      0     -2      1     0    -2    0.00000      0     -2    0.00103
              84      0     -2      .     0    -2    0.00103      0     -2    0.00103
              85      0     -2      1     0    -2    0.00000      0     -2    0.00103
              86      0     -2      2     0    -2    0.00000      0     -2    0.00103
              87      0     -1      .     0    -1    0.06614      0     -1    0.06614
              88      0     -1      1     0    -1    0.00003      0     -1    0.06614
              89      0     -1      .     0    -1    0.06614      0     -1    0.06614
              90      0     -1      .     0    -1    0.06614      0     -1    0.06614
              91      0     -1      1     0    -1    0.00003      0     -1    0.06614
              92      0     -1      .     0    -1    0.06614      0     -1    0.06614
              93      0     -1      .     0    -1    0.06614      0     -1    0.06614
              94      0     -1      1     0    -1    0.00003      0     -1    0.06614
              95      0     -1      .     0    -1    0.06614      0     -1    0.06614
              96      0     -1      .     0    -1    0.06614      0     -1    0.06614
              97      0     -1      1     0    -1    0.00003      0     -1    0.06614
              98      0     -1      .     0    -1    0.06614      0     -1    0.06614
              99      0     -1      1     0    -1    0.00003      0     -1    0.06614
             100      0     -1      2     0    -1    0.00000      0     -1    0.06614
             101      0      0      .     0     0    0.26526      0      0    0.26526
             102      0      0      1     0     0    0.03727      0      0    0.26526
                                          The SAS System      19:44 Friday, September 20, 2019   3

             Obs    x31    x32    x33    i     j      pdf3     x21    x22      pdf2

             103     0       0      .    0     0    0.26526     0       0    0.26526
             104     0       0      1    0     0    0.03727     0       0    0.26526
             105     0       0      .    0     0    0.26526     0       0    0.26526
             106     0       0      .    0     0    0.26526     0       0    0.26526
             107     0       0      1    0     0    0.03727     0       0    0.26526
             108     0       0      2    0     0    0.00028     0       0    0.26526
             109     0       1     -2    0     1    0.00000     0       1    0.06614
             110     0       1     -1    0     1    0.00003     0       1    0.06614
             111     0       1      .    0     1    0.06614     0       1    0.06614
             112     0       1      1    0     1    0.04678     0       1    0.06614
             113     0       1      2    0     1    0.01310     0       1    0.06614
             114     0       2      .    0     2    0.00103     0       2    0.00103
             115     0       2      1    0     2    0.00006     0       2    0.00103
             116     0       2      .    0     2    0.00103     0       2    0.00103
             117     0       2      .    0     2    0.00103     0       2    0.00103
             118     0       2      .    0     2    0.00103     0       2    0.00103
             119     0       2      .    0     2    0.00103     0       2    0.00103
             120     0       2      1    0     2    0.00006     0       2    0.00103
             121     0       2      .    0     2    0.00103     0       2    0.00103
             122     0       2      .    0     2    0.00103     0       2    0.00103
             123     0       2      1    0     2    0.00006     0       2    0.00103
             124     0       2      .    0     2    0.00103     0       2    0.00103
             125     0       2      .    0     2    0.00103     0       2    0.00103
             126     0       2      1    0     2    0.00006     0       2    0.00103
             127     0       2      2    0     2    0.00068     0       2    0.00103
             128     1      -2      .    1    -2    0.00000     1      -2    0.00000
             129     1      -2      1    1    -2    0.00000     1      -2    0.00000
             130     1      -2      .    1    -2    0.00000     1      -2    0.00000
             131     1      -2      1    1    -2    0.00000     1      -2    0.00000
             132     1      -2      .    1    -2    0.00000     1      -2    0.00000
             133     1      -2      1    1    -2    0.00000     1      -2    0.00000
             134     1      -2      2    1    -2    0.00000     1      -2    0.00000
             135     1      -1      .    1    -1    0.00179     1      -1    0.00179
             136     1      -1      .    1    -1    0.00179     1      -1    0.00179
             137     1      -1      1    1    -1    0.00000     1      -1    0.00179
             138     1      -1      2    1    -1    0.00000     1      -1    0.00179
             139     1       0      .    1     0    0.06614     1       0    0.06614
             140     1       0      1    1     0    0.00203     1       0    0.06614
             141     1       0      2    1     0    0.00000     1       0    0.06614
             142     1       1      .    1     1    0.15219     1       1    0.15219
             143     1       1      1    1     1    0.09681     1       1    0.15219
             144     1       1      2    1     1    0.00759     1       1    0.15219
             145     1       2     -2    1     2    0.00000     1       2    0.02177
             146     1       2     -1    1     2    0.00000     1       2    0.02177
             147     1       2      0    1     2    0.00006     1       2    0.02177
             148     1       2      1    1     2    0.00504     1       2    0.02177
             149     1       2      .    1     2    0.02177     1       2    0.02177
             150     1       2      .    1     2    0.02177     1       2    0.02177
             151     1       2      1    1     2    0.00504     1       2    0.02177
             152     1       2      .    1     2    0.02177     1       2    0.02177
             153     1       2      .    1     2    0.02177     1       2    0.02177
                                          The SAS System      19:44 Friday, September 20, 2019   4

            Obs    x31    x32    x33    i     j      pdf3      x21    x22      pdf2

            154     1       2      .    1     2    0.021774     1       2    0.021774
            155     1       2      .    1     2    0.021774     1       2    0.021774
            156     1       2      1    1     2    0.005044     1       2    0.021774
            157     1       2      .    1     2    0.021774     1       2    0.021774
            158     1       2      .    1     2    0.021774     1       2    0.021774
            159     1       2      1    1     2    0.005044     1       2    0.021774
            160     1       2      .    1     2    0.021774     1       2    0.021774
            161     1       2      .    1     2    0.021774     1       2    0.021774
            162     1       2      1    1     2    0.005044     1       2    0.021774
            163     1       2      .    1     2    0.021774     1       2    0.021774
            164     1       2      1    1     2    0.005044     1       2    0.021774
            165     1       2      .    1     2    0.021774     1       2    0.021774
            166     1       2      1    1     2    0.005044     1       2    0.021774
            167     1       2      .    1     2    0.021774     1       2    0.021774
            168     1       2      1    1     2    0.005044     1       2    0.021774
            169     1       2      .    1     2    0.021774     1       2    0.021774
            170     1       2      1    1     2    0.005044     1       2    0.021774
            171     1       2      2    1     2    0.015016     1       2    0.021774
            172     2      -2     -2    2    -2    0.000000     2      -2    0.000000
            173     2      -2     -1    2    -2    0.000000     2      -2    0.000000
            174     2      -2      0    2    -2    0.000000     2      -2    0.000000
            175     2      -2      .    2    -2    0.000000     2      -2    0.000000
            176     2      -2      1    2    -2    0.000000     2      -2    0.000000
            177     2      -2      .    2    -2    0.000000     2      -2    0.000000
            178     2      -2      .    2    -2    0.000000     2      -2    0.000000
            179     2      -2      1    2    -2    0.000000     2      -2    0.000000
            180     2      -2      .    2    -2    0.000000     2      -2    0.000000
            181     2      -2      .    2    -2    0.000000     2      -2    0.000000
            182     2      -2      1    2    -2    0.000000     2      -2    0.000000
            183     2      -2      .    2    -2    0.000000     2      -2    0.000000
            184     2      -2      .    2    -2    0.000000     2      -2    0.000000
            185     2      -2      1    2    -2    0.000000     2      -2    0.000000
            186     2      -2      2    2    -2    0.000000     2      -2    0.000000
            187     2      -1     -2    2    -1    0.000002     2      -1    0.000003
            188     2      -1     -1    2    -1    0.000001     2      -1    0.000003
            189     2      -1      .    2    -1    0.000003     2      -1    0.000003
            190     2      -1      1    2    -1    0.000000     2      -1    0.000003
            191     2      -1      .    2    -1    0.000003     2      -1    0.000003
            192     2      -1      .    2    -1    0.000003     2      -1    0.000003
            193     2      -1      .    2    -1    0.000003     2      -1    0.000003
            194     2      -1      .    2    -1    0.000003     2      -1    0.000003
            195     2      -1      .    2    -1    0.000003     2      -1    0.000003
            196     2      -1      1    2    -1    0.000000     2      -1    0.000003
            197     2      -1      .    2    -1    0.000003     2      -1    0.000003
            198     2      -1      .    2    -1    0.000003     2      -1    0.000003
            199     2      -1      .    2    -1    0.000003     2      -1    0.000003
            200     2      -1      1    2    -1    0.000000     2      -1    0.000003
            201     2      -1      2    2    -1    0.000000     2      -1    0.000003
            202     2       0      .    2     0    0.001025     2       0    0.001025
            203     2       0      .    2     0    0.001025     2       0    0.001025
            204     2       0      1    2     0    0.000004     2       0    0.001025
                                          The SAS System      19:44 Friday, September 20, 2019   5

             Obs    x31    x32    x33    i    j      pdf3      x21    x22      pdf2

             205     2      0       2    2    0    0.000000     2      0     0.001025
             206     2      1      -2    2    1    0.000002     2      1     0.021774
             207     2      1       .    2    1    0.021774     2      1     0.021774
             208     2      1       .    2    1    0.021774     2      1     0.021774
             209     2      1       1    2    1    0.007594     2      1     0.021774
             210     2      1       .    2    1    0.021774     2      1     0.021774
             211     2      1       1    2    1    0.007594     2      1     0.021774
             212     2      1       .    2    1    0.021774     2      1     0.021774
             213     2      1       1    2    1    0.007594     2      1     0.021774
             214     2      1       .    2    1    0.021774     2      1     0.021774
             215     2      1       .    2    1    0.021774     2      1     0.021774
             216     2      1       1    2    1    0.007594     2      1     0.021774
             217     2      1       .    2    1    0.021774     2      1     0.021774
             218     2      1       .    2    1    0.021774     2      1     0.021774
             219     2      1       .    2    1    0.021774     2      1     0.021774
             220     2      1       .    2    1    0.021774     2      1     0.021774
             221     2      1       1    2    1    0.007594     2      1     0.021774
             222     2      1       .    2    1    0.021774     2      1     0.021774
             223     2      1       .    2    1    0.021774     2      1     0.021774
             224     2      1       1    2    1    0.007594     2      1     0.021774
             225     2      1       .    2    1    0.021774     2      1     0.021774
             226     2      1       .    2    1    0.021774     2      1     0.021774
             227     2      1       1    2    1    0.007594     2      1     0.021774
             228     2      1       2    2    1    0.000167     2      1     0.021774
             229     2      2      -2    2    2    0.000000     2      2     0.028746
             230     2      2       .    2    2    0.028746     2      2     0.028746
             231     2      2       1    2    2    0.015016     2      2     0.028746
             232     2      2       .    2    2    0.028746     2      2     0.028746
             233     2      2       1    2    2    0.015016     2      2     0.028746
             234     2      2       2    2    2    0.012520     2      2     0.028746
